,bot,bot_rank,user,user_rank,user_color,winner,outcome,ranked
24671233,katrain-2d,-3.386398667504821,argen1204,-3.8198709973708063,black,white,82.5 points,True
24651782,katrain-balanced,9.84720402491756,Delan,13.296099152726185,black,white,2.5 points,True
24671149,katrain-2k,0.8686742409202708,honggui586,2.9433105345746498,black,white,1.5 points,True
24611114,katrain-2k,0.030770524078921113,a36636,3.4007898193999146,black,black,155.5 points,False
24640749,katrain-10k,9.22286072402575,GoNono,10.33054726929613,black,black,39.5 points,True
24657318,katrain-14k,15.636257912806895,freeyoshua,20.828676263291207,black,white,Resignation,True
24678268,katrain-tenuki,7.468376438834934,Byrdy,9.399069513545275,black,white,62.5 points,True
24639777,katrain-10k,8.524693739602327,jacobusvandermerwe,9.00281023683996,black,black,69.5 points,True
24656955,katrain-balanced,9.590855816272434,Delan,13.447259983039682,black,white,42.5 points,True
24673276,katrain-2d,-3.5398113762633727,argen1204,-3.578473456678779,black,white,40.5 points,True
24617447,katrain-weighted,0.7408894511536914,a36636,3.4007898193999146,black,black,163.5 points,False
24594888,katrain-6k,6.517670493854638,Derrabe,7.906891789339927,black,white,Resignation,False
24643035,katrain-2k,-0.05166278103611077,honggui586,3.9455840735066126,black,black,59.5 points,True
24666760,katrain-10k,8.82797732496838,GoNono,10.351839083150796,black,black,69.5 points,True
24678485,katrain-tenuki,7.1861747211381015,Byrdy,9.616951559935806,black,white,36.5 points,True
24593884,katrain-10k,9.466888387084676,jacobusvandermerwe,10.093477081309278,black,black,88.5 points,True
24674799,katrain-2d,-3.1994561492611524,argen1204,-3.764071944589787,black,white,34.5 points,True
24656865,katrain-14k,16.780226534675265,freeyoshua,20.428270627146112,black,white,50.5 points,True
24594728,katrain-6k,6.517670493854638,GoNono,10.56546557076907,black,white,Timeout,True
24596277,katrain-10k,9.454760747392015,jacobusvandermerwe,10.125381942069431,black,white,Resignation,True
24617144,katrain-6k,6.8016929475659715,Derrabe,7.906891789339927,black,white,16.5 points,False
24617645,katrain-weighted,0.7408894511536914,a36636,3.4007898193999146,black,black,29.5 points,False
24642657,katrain-2k,0.8094968533102929,honggui586,3.826308594858311,black,white,7.5 points,True
24607935,katrain-18k,19.786251449651026,BZSolarDot,26.94463817113769,black,white,Timeout,True
24600561,katrain-18k,19.51827044513535,Freudirfin,17.91227635976167,black,white,52.5 points,True
24608023,katrain-18k,19.783575491344394,BZSolarDot,26.89775055838149,black,white,Timeout,True
24676984,katrain-2d,-3.794010270937413,argen1204,-3.0330682782821867,black,black,7.5 points,True
24596359,katrain-10k,9.20875381652063,jacobusvandermerwe,10.229336182084229,black,black,107.5 points,True
24592554,katrain-local,6.627893059994658,Derrabe,7.906891789339927,black,white,75.5 points,False
24671547,katrain-2k,0.9516834873603948,honggui586,3.386787389527072,black,black,41.5 points,True
24617892,katrain-weighted,0.7408894511536914,a36636,3.4007898193999146,black,white,4.5 points,False
24598406,katrain-18k,18.70428999074077,Frizzolini,26.098291909865214,black,white,Timeout,True
24647964,katrain-balanced,10.08275497744535,GoNono,10.392559465190004,black,black,105.5 points,True
24608057,katrain-18k,19.778225250434446,BZSolarDot,26.897223832379215,black,white,179.5 points,True
24611749,katrain-local,6.429648341699675,Derrabe,7.906891789339927,black,white,Resignation,False
24596974,katrain-18k,21.189205544506613,Frizzolini,26.140854096174717,black,white,Timeout,True
24613388,katrain-10k,7.802595381482071,jacobusvandermerwe,10.180881448014322,black,white,Resignation,True
24678019,katrain-2d,-3.495469272880051,argen1204,-3.3468811433966863,black,white,26.5 points,True
24667016,katrain-tenuki,8.809125169608013,GoNono,10.125413444791128,black,white,Timeout,True
24674882,katrain-weighted,3.1185944351672497,HowFar,4.368865301353953,black,black,11.5 points,True
24616105,katrain-local,6.15515813396118,Derrabe,7.906891789339927,black,white,Resignation,False
24670494,katrain-18k,21.513852913975747,a5744585,16.967545382141424,black,black,19.5 points,True
24608194,katrain-18k,19.404692128658155,BZSolarDot,27.125611420432215,black,white,117.5 points,True
24596196,katrain-weighted,4.756585430052031,fujiwaranosai2,1.8278372097292461,black,white,Resignation,False
24609403,katrain-weighted,2.0958072166011625,HowFar,5.042388196158818,black,white,Resignation,True
24613600,katrain-10k,7.606346105097035,jacobusvandermerwe,10.213748770585621,black,black,13.5 points,True
24679296,katrain-2d,-3.7566594787403957,argen1204,-3.049234411165422,black,black,37.5 points,True
24668202,katrain-10k,8.921917501792215,dingdongca,12.486986243679514,black,black,51.5 points,True
24667171,katrain-tenuki,8.809125169608013,GoNono,10.125413444791128,black,white,64.5 points,True
24638955,katrain-2d,-3.3175841705323137,acezzz,-0.7615737144737871,black,black,31.5 points,True
24668845,katrain-18k,22.970751450693854,hrdbird,28.922385897862924,black,white,Timeout,True
24676014,katrain-balanced,8.231688398227647,gebe,10.438802153297821,black,white,4.5 points,True
24618019,katrain-weighted,1.025594568629522,huangly,7.819389586254676,black,white,Resignation,False
24597763,katrain-2d,-3.246699794812713,argen1204,-4.085089192742906,black,black,43.5 points,True
24614151,katrain-10k,7.9053695398546076,jacobusvandermerwe,10.301441112585746,black,white,Timeout,True
24608285,katrain-18k,19.654299247908575,BZSolarDot,27.406692734404274,black,white,43.5 points,True
24594598,katrain-10k,8.741404017639493,dlpigozzi,9.308241516206685,black,black,62.5 points,True
24667344,katrain-tenuki,8.534434160064407,GoNono,10.351871777950869,black,white,Timeout,True
24656927,katrain-14k,16.780226534675265,Aide Guadalupe.bmx,17.15358736186372,black,white,85.5 points,True
24591173,katrain-10k,8.482525837350334,jacobusvandermerwe,10.470297897696021,black,black,2.5 points,True
24656883,katrain-6k,4.671997794391938,huangly,8.80435589803949,black,black,31.5 points,True
24599591,katrain-10k,10.07704571940728,gebe,11.321036816339724,black,black,100.5 points,True
24667456,katrain-tenuki,8.534434160064407,GoNono,10.351871777950869,black,black,15.5 points,True
24656598,katrain-6k,4.671997794391938,human_egg,8.786744329642548,black,white,Resignation,True
24616624,katrain-18k,21.109169885877634,AJGibson,21.98339298734419,black,white,Resignation,True
24602757,katrain-2d,-3.8128725654533184,argen1204,-4.679720217986045,black,white,6.5 points,True
24593027,katrain-6k,6.938458026211677,dlpigozzi,9.225614748836147,black,white,102.5 points,True
24654696,katrain-18k,23.132729408893596,BZSolarDot,27.349800449913698,black,white,138.5 points,True
24571191,katrain-10k,8.480182595434748,gergo14,7.974399701692725,black,white,0.5 points,False
24594269,katrain-weighted,5.35653444739286,GoNono,10.335611182736269,black,white,Timeout,True
24595667,katrain-local,6.4388799573001805,dlpigozzi,9.308745128926951,black,white,Resignation,True
24613990,katrain-10k,8.287554235829017,jacobusvandermerwe,10.145665946333576,black,white,8.5 points,True
24616884,katrain-18k,21.10517049568476,AJGibson,22.738883465856222,black,black,26.5 points,True
24603878,katrain-2d,-3.895179695614573,argen1204,-4.706194768476109,black,black,47.5 points,True
24595004,katrain-18k,21.46908671178003,hypophis,18.23160763538642,black,black,145.5 points,True
24652747,katrain-6k,4.867256055195842,jakewwill,6.655147796689185,black,white,Resignation,True
24610884,katrain-18k,20.667972437363016,BZSolarDot,28.55507374197607,black,white,234.5 points,True
24669751,katrain-18k,22.667997268019093,Gia,24.63082756208991,black,white,114.5 points,True
24599712,katrain-10k,10.053744480295606,dlpigozzi,10.121014495245877,black,black,83.5 points,True
24619070,katrain-18k,22.714843609506083,AJGibson,22.050079886534927,black,white,32.5 points,True
24594409,katrain-weighted,5.1808647657352225,GoNono,10.335611182736269,black,white,14.5 points,True
24606902,katrain-2d,-3.804334834458558,argen1204,-4.540152214318212,black,white,26.5 points,True
24653569,katrain-influence,6.959822846493811,AlanAlan2056,9.025929475790221,black,white,Resignation,True
24598138,katrain-weighted,4.721970205628796,jalnanee,1.948012245707524,black,white,Resignation,True
24613447,katrain-weighted,0.7933963959538239,CalmTilt,1.9990647878730776,black,white,Resignation,True
24668539,katrain-2k,-0.20947718636846346,DominosPizza,1.5980937539405708,black,white,25.5 points,True
24615031,katrain-weighted,0.6397279008209793,hyunsan,6.992476868868639,black,white,0.5 points,False
24638464,katrain-2k,-0.0495537330473077,joyjoy1009,2.232792203114954,black,white,12.5 points,True
24594913,katrain-weighted,5.153989089124252,GoNono,10.56546557076907,black,black,39.5 points,True
24609157,katrain-2d,-3.7368966208517165,argen1204,-4.647850753498304,black,white,18.5 points,True
24611960,katrain-2k,-0.013453682442019499,K.H.,2.2297704624544963,black,white,Resignation,True
24613262,katrain-weighted,0.7651088458970285,CalmTilt,2.631747851810111,black,black,214.5 points,True
24592959,katrain-6k,7.0526157983642435,dooddi999,20.090844052207853,black,white,14.5 points,False
24598483,katrain-weighted,3.9196979883439695,jalnanee,2.308856014681435,black,white,10.5 points,True
24653885,katrain-influence,6.820843721883993,AlanAlan2056,9.279909873942223,black,black,121.5 points,True
24617606,katrain-weighted,0.7408894511536914,hyunsan,6.992476868868639,black,black,14.5 points,False
24671476,katrain-weighted,4.311288544963489,jalnanee,2.481248201301554,black,white,Resignation,True
24595140,katrain-weighted,5.484947855702206,GoNono,10.098949583942503,black,white,Timeout,True
24614806,katrain-14k,13.695911001628154,kakuna17,17.42760766747242,black,white,Resignation,False
24666204,katrain-2k,-0.34173940149520377,jayzheng,1.519667413632341,black,white,Timeout,True
24616403,katrain-2d,-3.673213421336584,argen1204,-4.395994277129532,black,black,93.5 points,True
24613556,katrain-weighted,0.5694374926780768,CalmTilt,2.3918057842867455,black,black,103.5 points,True
24610306,katrain-10k,8.684991211194443,DRAGON_SUN,12.250498824814397,black,white,126.5 points,True
24617885,katrain-weighted,0.7408894511536914,hyunsan,6.992476868868639,black,black,7.5 points,False
24606318,katrain-local,5.789170745377632,AlanAlan2056,9.397851283530354,black,black,65.5 points,True
24668246,katrain-2d,-3.195571707528309,argen1204,-4.118980193364941,black,white,Timeout,True
24595293,katrain-weighted,5.484947855702206,GoNono,10.098949583942503,black,white,49.5 points,True
24666533,katrain-2k,-0.33846311360278847,jayzheng,1.3718657917771324,black,white,Resignation,True
